Year,Month,Platform,Region,Genre,Song Type,Age Group (18-24),Age Group (25-34),Age Group (35-44),Age Group (45-54),Age Group (55+),Male (%),Female (%),Device Type,Monthly Active Users (MAU),Monthly Streams,Revenue (USD),ARPU (USD),Paid Subscribers (%),Free Subscribers (%),Likes,Shares,Comments,Peak Streaming Hours (UTC),Churn Rate (%)
2020,10,Spotify,Europe,Pop,EP,2272,3379,2546,1346,613,52,48,Desktop,136237,107360,102958,10.806056094606626,41,59,1613,1714,3423,18:00,44.182100156644665
2024,12,Amazon Music,Asia,Rock,Album,1599,3016,1576,1929,549,41,59,PS5,128005,109215,58020,6.587226295373476,14,86,1192,4623,1662,06:00,48.53452917232053
2019,07,Apple Music,South America,Hip-Hop,EP,1840,3847,2872,2055,1548,60,40,Desktop,370349,488899,112548,8.30425640013068,49,51,1258,1620,2528,21:00,44.312716264895684
2020,02,Spotify,Africa,Rock,Single,2699,3322,1923,1994,1939,57,43,Mobile,209905,408318,157647,4.249854469328611,29,71,4960,2432,2921,00:00,30.661486760625845
2023,03,YouTube,Africa,Hip-Hop,Album,2333,3273,1705,2584,799,55,45,Mobile,179039,155486,85509,1.3037417434268033,13,87,2994,1438,2370,00:00,5.843122744834424
2024,03,YouTube,North America,Rock,EP,2384,3415,2696,2039,1001,48,52,Mobile,260201,319387,182875,17.575612780213625,16,84,4110,413,2286,06:00,16.01126674121778
2020,03,Apple Music,Japan,Rock,Album,1209,2282,1710,1182,1746,51,49,PS5,428490,363812,114035,12.597497316227505,5,95,660,1383,3177,00:00,7.241176926371896
2019,05,Apple Music,Africa,Rock,Album,1499,2366,2389,1432,555,36,64,Tablet,350721,479146,198209,15.178833321728,5,95,2112,1684,131,18:00,16.992253339475788
2020,09,Amazon Music,Europe,Classical,Album,1669,3839,3001,2809,629,45,55,PS5,213602,181210,105352,7.569349238855786,43,57,2175,427,4490,18:00,49.72976564665362
2022,09,YouTube,Europe,Hip-Hop,Single,1666,2683,1525,2157,2408,42,58,Mobile,243421,272932,157152,12.875769381113477,27,73,993,2682,4632,12:00,46.09373954834872
2019,12,Spotify,Europe,Rock,EP,1916,3089,3064,1542,1246,38,62,Desktop,248370,225624,196138,6.648391207657378,10,90,744,1787,658,21:00,26.147450317753794
2020,09,Amazon Music,Asia,Hip-Hop,EP,1513,2155,3098,2685,1412,42,58,Desktop,288555,256235,166154,17.96147059811898,67,33,3790,2878,3942,12:00,41.64479518122448
2019,01,Amazon Music,South America,Pop,EP,1603,3234,3271,1972,1531,61,39,Tablet,123216,334894,98953,6.628306365579801,25,75,1566,4413,2895,21:00,36.44849172110467
2022,07,YouTube,India,Rock,Single,2711,2622,2579,1502,837,64,36,Desktop,201879,425327,121415,12.438621393392037,38,62,4103,4882,4414,21:00,6.957944876513767
2019,01,Spotify,Europe,Pop,EP,1919,2061,2602,2972,793,62,38,Desktop,354789,187090,120566,16.17987588137811,15,85,170,1024,4020,18:00,36.237301248288816
2024,04,YouTube,North America,Electronic,Single,2827,2571,2915,1249,1379,36,64,Mobile,142220,158984,126576,2.0830596348229973,41,59,3271,210,4148,21:00,17.370981881756087
2023,03,Amazon Music,India,Pop,Single,2653,2771,1550,1509,1993,37,63,Desktop,442686,238620,117027,8.95591358678558,36,64,569,2470,2651,06:00,49.165634512090854
2019,02,YouTube,North America,Jazz,Single,2121,3093,2788,2148,2162,44,56,Mobile,371260,408465,138013,6.734870892878422,29,71,4386,4215,4778,21:00,49.34324132150035
2024,01,Apple Music,Japan,Pop,EP,1053,2043,1976,1350,2354,62,38,Tablet,123638,186008,107589,17.529405421195392,8,92,2343,2699,2028,18:00,15.263364679118197
2023,10,Spotify,North America,Jazz,Single,1680,3126,2856,2227,1893,36,64,Mobile,260960,101902,139520,4.966124491125222,36,64,352,950,294,00:00,26.630532713759735
2019,03,Amazon Music,India,Pop,Single,1900,2859,2169,2436,1807,55,45,PS5,299733,333151,89503,4.393334670507176,14,86,2110,3230,1503,12:00,38.75308263367645
2023,10,Spotify,Africa,Hip-Hop,Album,2360,2566,2521,1892,1463,46,54,Tablet,130027,162699,167655,15.905170321832161,66,34,3502,1499,811,12:00,34.20768263614994
2022,12,Amazon Music,South America,Electronic,Album,2621,3551,3341,2909,1740,59,41,Mobile,441271,128631,104623,7.870299851650544,52,48,4988,2565,4023,18:00,14.991646856436155
